junction_name,primary_direction,primary_speed_limit,primary_avg_speed,secondary_direction,secondary_speed_limit,secondary_avg_speed,record_time,record_date,day_of_week
J2,NB,70,67.46,SB,70,67.92,0 days 06:54:02,2024-09-03,Tuesday
J6A,NB,70,60.52,SB,70,57.17,0 days 06:54:02,2024-09-03,Tuesday
J10,NB,70,47.85,SB,70,41.7,0 days 06:54:02,2024-09-03,Tuesday
J14,NB,70,64.7,SB,70,58.21,0 days 06:54:02,2024-09-03,Tuesday
J19,NB,70,67.11,SB,70,61.38,0 days 06:54:02,2024-09-03,Tuesday
J21,NB,70,63.33,SB,70,52.93,0 days 06:54:02,2024-09-03,Tuesday
J24,NB,70,55.3,SB,70,51.93,0 days 06:54:02,2024-09-03,Tuesday
J28,NB,70,55.34,SB,70,53.46,0 days 06:54:02,2024-09-03,Tuesday
J32,NB,70,48.26,SB,70,52.71,0 days 06:54:02,2024-09-03,Tuesday
J34,NB,70,48.12,SB,70,48.61,0 days 06:54:02,2024-09-03,Tuesday
J39,NB,70,62.63,SB,70,70.0,0 days 06:54:02,2024-09-03,Tuesday
J43|44,NB,70,54.06,SB,70,49.03,0 days 06:54:02,2024-09-03,Tuesday
J2,NB,70,68.23,SB,70,67.29,0 days 06:55:02,2024-09-03,Tuesday
J6A,NB,70,60.52,SB,70,55.3,0 days 06:55:02,2024-09-03,Tuesday
J10,NB,70,47.97,SB,70,38.51,0 days 06:55:02,2024-09-03,Tuesday
J14,NB,70,65.53,SB,70,60.44,0 days 06:55:02,2024-09-03,Tuesday
J19,NB,70,67.22,SB,70,61.21,0 days 06:55:02,2024-09-03,Tuesday
J21,NB,70,63.33,SB,70,52.36,0 days 06:55:02,2024-09-03,Tuesday
J24,NB,70,54.68,SB,70,52.31,0 days 06:55:02,2024-09-03,Tuesday
J28,NB,70,55.53,SB,70,53.41,0 days 06:55:02,2024-09-03,Tuesday
J32,NB,70,48.26,SB,70,52.71,0 days 06:55:02,2024-09-03,Tuesday
J34,NB,70,47.85,SB,70,48.61,0 days 06:55:02,2024-09-03,Tuesday
J39,NB,70,62.14,SB,70,69.74,0 days 06:55:02,2024-09-03,Tuesday
J43|44,NB,70,54.06,SB,70,49.32,0 days 06:55:02,2024-09-03,Tuesday
J2,NB,70,68.47,SB,70,66.65,0 days 06:56:03,2024-09-03,Tuesday
J6A,NB,70,60.9,SB,70,55.3,0 days 06:56:03,2024-09-03,Tuesday
J10,NB,70,47.85,SB,70,39.75,0 days 06:56:03,2024-09-03,Tuesday
J14,NB,70,64.73,SB,70,60.05,0 days 06:56:03,2024-09-03,Tuesday
J19,NB,70,66.08,SB,70,61.38,0 days 06:56:03,2024-09-03,Tuesday
J21,NB,70,64.18,SB,70,52.65,0 days 06:56:03,2024-09-03,Tuesday
J24,NB,70,52.82,SB,70,51.93,0 days 06:56:03,2024-09-03,Tuesday
J28,NB,70,55.56,SB,70,53.12,0 days 06:56:03,2024-09-03,Tuesday
J32,NB,70,48.26,SB,70,53.5,0 days 06:56:03,2024-09-03,Tuesday
J34,NB,70,47.71,SB,70,48.61,0 days 06:56:03,2024-09-03,Tuesday
J39,NB,70,61.64,SB,70,68.94,0 days 06:56:03,2024-09-03,Tuesday
J43|44,NB,70,53.45,SB,70,49.75,0 days 06:56:03,2024-09-03,Tuesday
J2,NB,70,68.23,SB,70,66.33,0 days 06:57:02,2024-09-03,Tuesday
J6A,NB,70,62.02,SB,70,55.92,0 days 06:57:02,2024-09-03,Tuesday
J10,NB,70,47.85,SB,70,38.12,0 days 06:57:02,2024-09-03,Tuesday
J14,NB,70,64.98,SB,70,60.21,0 days 06:57:02,2024-09-03,Tuesday
J19,NB,70,65.02,SB,70,61.86,0 days 06:57:02,2024-09-03,Tuesday
J21,NB,70,64.75,SB,70,52.66,0 days 06:57:02,2024-09-03,Tuesday
J24,NB,70,53.44,SB,70,51.56,0 days 06:57:02,2024-09-03,Tuesday
J28,NB,70,55.43,SB,70,53.12,0 days 06:57:02,2024-09-03,Tuesday
J32,NB,70,49.23,SB,70,54.86,0 days 06:57:02,2024-09-03,Tuesday
J34,NB,70,48.19,SB,70,48.61,0 days 06:57:02,2024-09-03,Tuesday
J39,NB,70,61.27,SB,70,68.0,0 days 06:57:02,2024-09-03,Tuesday
J43|44,NB,70,53.45,SB,70,49.87,0 days 06:57:02,2024-09-03,Tuesday
J2,NB,70,63.42,SB,70,64.1,0 days 06:58:03,2024-09-03,Tuesday
J6A,NB,70,63.14,SB,70,57.79,0 days 06:58:03,2024-09-03,Tuesday
J10,NB,70,47.85,SB,70,37.74,0 days 06:58:03,2024-09-03,Tuesday
J14,NB,70,65.28,SB,70,60.58,0 days 06:58:03,2024-09-03,Tuesday
J19,NB,70,66.56,SB,70,61.86,0 days 06:58:03,2024-09-03,Tuesday
J21,NB,70,64.5,SB,70,50.91,0 days 06:58:03,2024-09-03,Tuesday
J24,NB,70,53.44,SB,70,48.97,0 days 06:58:03,2024-09-03,Tuesday
J28,NB,70,55.19,SB,70,53.61,0 days 06:58:03,2024-09-03,Tuesday
J32,NB,70,49.5,SB,70,54.06,0 days 06:58:03,2024-09-03,Tuesday
J34,NB,70,47.71,SB,70,49.08,0 days 06:58:03,2024-09-03,Tuesday
J39,NB,70,60.4,SB,70,67.58,0 days 06:58:03,2024-09-03,Tuesday
J43|44,NB,70,52.54,SB,70,50.85,0 days 06:58:03,2024-09-03,Tuesday
J2,NB,70,63.42,SB,70,63.79,0 days 06:59:03,2024-09-03,Tuesday
J6A,NB,70,64.25,SB,70,57.79,0 days 06:59:03,2024-09-03,Tuesday
J10,NB,70,47.85,SB,70,38.04,0 days 06:59:03,2024-09-03,Tuesday
J14,NB,70,64.97,SB,70,61.11,0 days 06:59:03,2024-09-03,Tuesday
